Question,Option_A,Option_B,Option_C,Option_D,Answer,Category,subcategory,Highlighted,Explanation_A,Explanation_B,Explanation_C,Explanation_D,High_Yield_Must_Know,One_Line,Accuracy_Review
"A 28-year-old man with 4-months history of non-specific crampy abdominal pain and diarrhea alternate with constipation that is not related to any specific food. He has no history of food allergy. No history of weight loss. Blood pressure 110/70 mmH, Heart rate 76 /min, Temperature 36.6 °C, BMI 23 kg/m2 Which of the following is the most likely diagnosis?",Irritable bowel syndrome,Lactose intolerance,Colonic cancer,Crohn's disease,A. Irritable bowel syndrome,Internal medicine,Cardiology,Highlighted,"Correct. A young patient with a chronic history (4+ months) of crampy abdominal pain that alternates with diarrhea and constipation, without alarm symptoms (bleeding, weight loss), fulfills Rome criteria for Irritable Bowel Syndrome.","Incorrect. Lactose intolerance causes purely osmotic diarrhea and bloating after dairy, not alternating with constipation.","Incorrect. Colonic cancer would typically present in older patients with alarm symptoms (rectal bleeding, weight loss, anemia).","Incorrect. Crohn's disease causes inflammatory diarrhea (often bloody or with mucus), weight loss, and severe pain.","Irritable Bowel Syndrome (IBS) is a clinical diagnosis based on the Rome criteria: recurrent abdominal pain >= 1 day/week for 3 months, associated with 2 or more of: related to defecation, change in stool frequency, or change in stool form (appearance).",Chronic alternating diarrhea/constipation with crampy pain = IBS.,Accurate
A 34-year-old man previously healthy brought a laboratory results for hepatitis B virus from a private clinic (see lab results). Test Result HBAg Negative HBeAg Negative Anti- HBsAg Positive Anti-HBc IgG Negative What is the clinical state the laboratory results indicate?,Previous Hepatitis B infection,Acute Hepatitis B infection,Chronic Hepatitis B infection,Previous hepatitis B immunization,D. Previous hepatitis B immunization,Internal medicine,Gastroenterology,Highlighted,Incorrect. Previous infection would have Positive Anti-HBc (IgG) alongside Positive Anti-HBs.,"Incorrect. Acute infection has Positive HBsAg, Positive Anti-HBc (IgM).",Incorrect. Chronic infection has Positive HBsAg for > 6 months.,"Correct. If the lab results (cut off in text but implied by the answer) show *only* Positive Anti-HBs (Hepatitis B surface antibody) and negative HBsAg and negative Anti-HBc, it indicates immunity from previous Hepatitis B immunization (vaccine).",A Hepatitis B serology profile showing isolated positive Anti-HBs (HBsAb) with negative HBsAg and negative Anti-HBc (core antibody) indicates immunity secondary to vaccination.,Isolated positive Anti-HBs indicates Hepatitis B vaccination.,Accurate
A 34-year woman presented with recurrent biliary colic for 5 months. Liver function test is within normal limits. Liver ultrasound shows cholelithiasis. Which of the following procedures is the most appropriate?,Cholecystectomy,Upper Gi endoscopy,Gall bladder lithotripsy,Endoscopic retrograde cholangiopancreatography,A. Cholecystectomy,Internal medicine,Gastroenterology,Highlighted,Correct. A patient with symptomatic gallstones (recurrent biliary colic) and normal liver function tests should undergo an elective cholecystectomy to prevent future attacks and complications.,"Incorrect. Upper GI endoscopy is for peptic ulcer disease, which doesn't fit biliary colic.",Incorrect. Lithotripsy is rarely used for gallstones due to high recurrence rates and the superiority of laparoscopic surgery.,"Incorrect. ERCP is for stones in the common bile duct (elevated LFTs/bilirubin), not uncomplicated stones in the gallbladder.","Symptomatic cholelithiasis (biliary colic) without evidence of complications (normal LFTs, normal CBD on ultrasound) is the primary indication for elective laparoscopic cholecystectomy.",Symptomatic gallstones (biliary colic) are treated with elective cholecystectomy.,Accurate
"A 29-year-old man presented with painless jaundice after resolution of upper respiratory tract viral infection, otherwise he is asymptomatic. Clinical abdominal examination is unremarkable. Peripheral blood smear is normal (see lab results). Test Result Normal Values RBC 5.1 4.7-6.1 x 1012/L (Male) 4.2-5.4 x 1012/L. (Female) Hb 133 130-170 g/L. (Male) 120-160 g/L (Female) MCV 88 80-95 fl Reticulocyte 0.21 0.2-1.2 % Platelets count 220 150-400 x 109/L WBC 5.2 4.5-10.5 x 109/L Alkaline phosphatase 41 39-117 1U/L Alanine aminotransferase 12 5-40 IU/L Aspartate aminotransferase 20 12-40 IU/L Indirect bilirubin 18 3.2-12.1 mol/L Direct bilirubin 1.51 1.5-6.5 mol/L Total bilirubin 19.51 3.5-16.5 mol/L HCT 0.44 0.42-0.52 (Male) 0.37-0.48 (Female) Which of the following is the most likely cause of his jaundice?",Hemolytic anemia,Fatty liver disease,Gilbert syndrome,Common bile duct obstruction,C. Gilbert syndrome,Internal medicine,Gastroenterology,Highlighted,"Incorrect. Hemolytic anemia causes pre-hepatic jaundice, but Gilbert's is far more common as an isolated, asymptomatic finding triggered by stress.","Incorrect. Fatty liver causes elevated transaminases (AST/ALT), not isolated hyperbilirubinemia.","Correct. Painless, transient jaundice (unconjugated hyperbilirubinemia) triggered by fasting, stress, or a viral illness in an otherwise healthy young adult is classic for Gilbert syndrome (deficiency in UDP-glucuronosyltransferase).",Incorrect. CBD obstruction causes painful (or painless if malignant) conjugated hyperbilirubinemia with elevated ALP and dilated ducts.,"Gilbert syndrome causes a mild, isolated unconjugated hyperbilirubinemia that becomes evident during times of physiological stress (fasting, illness, exertion). LFTs are otherwise completely normal. It is benign and requires no treatment.",Stress-induced isolated unconjugated hyperbilirubinemia = Gilbert syndrome.,Accurate
A 39-year-old man with asymptomatic hereditary hemochromatosis presented to the clinic for a check-up (see lab results). Test Result Normal Values Alkaline phosphatase 42 39-117 IU/L Alanine aminotransferase 20 5-40 IU/L Aspartate aminotransferase 22 12-40 IU/L Ferritin 860 20-300 g/L (Male) 20-120 pg/L (Female) Which of the following is the most appropriate management?,Give penicillamine,Referral to upper GI endoscopy,Repeat the serum ferritin after 6 month,Initiate regular therapeutic phlebotomy,D. Initiate regular therapeutic phlebotomy,Internal medicine,Gastroenterology,Not,"Incorrect. Penicillamine is a chelating agent used for Wilson's disease (copper), not hemochromatosis (iron).",Incorrect. Upper GI endoscopy is not the treatment for hemochromatosis.,"Incorrect. Leaving iron overload untreated leads to irreversible cirrhosis, bronze diabetes, and heart failure.","Correct. The primary treatment for hereditary hemochromatosis (iron overload), even if asymptomatic, is regular therapeutic phlebotomy to deplete iron stores and prevent organ damage.","Hereditary hemochromatosis is treated with lifelong therapeutic phlebotomy. The goal is to maintain serum ferritin between 50 and 100 ng/mL to prevent cirrhosis, hepatocellular carcinoma, and cardiomyopathy.",Hereditary hemochromatosis is treated with regular therapeutic phlebotomy.,Accurate
"A 52-year-old man develops sudden severe retrosternal chest pain that radiates to his back. Within minutes, he became unconscious. He is a heavy smoker and has history of hypertension. Blood pressure 85/56 mmHg Heart rate 92 /min. Which of the following is the most likely diagnosis?",Vasovagal attacks,Pulmonary embolism,Tear in the aortic intima,Acute myocardial infarction,C. Tear in the aortic intima,Internal medicine,Cardiology,Highlighted,"Incorrect. Vasovagal attacks cause syncope, not severe tearing back pain.","Incorrect. Pulmonary embolism causes pleuritic chest pain and dyspnea, rarely radiating to the back.","Correct. Sudden, severe, 'tearing' or 'ripping' retrosternal chest pain that radiates directly to the back (interscapular area) is the hallmark presentation of an acute aortic dissection (tear in the aortic intima).","Incorrect. MI causes crushing, heavy chest pain radiating to the jaw/arm, but rarely described as 'tearing to the back'.","Aortic dissection typically presents as sudden, severe, tearing chest pain radiating to the back. A discrepancy in blood pressure between the arms is a classic physical exam finding. Diagnosis is confirmed with CT angiography.",Tearing chest pain radiating to the back = Aortic Dissection.,Accurate
"A 23-year-old man is brought to the hospital after an episode of collapse. He states that on a few occasions while playing football he has had some chest pain, breathlessness and felt as he was going to faint. Last night during training, he collapsed and blacked out for a few seconds. Clinical examination revealed a harsh ejection systolic murmur with a palpable systolic thrill at the left steal edge; and a prominent jerky carotid pulse. Which of the following is the most likely diagnosis?",Hypertrophic obstructive cardiomyopathy,Wolff-parkinson-white syndrome,Brugada syndrome,Long QT syndrome,A. Hypertrophic obstructive cardiomyopathy,Internal medicine,Cardiology,Not,"Correct. A young athlete with a history of exertional syncope or sudden cardiac death (often with a family history) most likely has Hypertrophic Obstructive Cardiomyopathy (HOCM). The dynamic LV outflow tract obstruction worsens with exercise, dropping cardiac output and causing syncope.","Incorrect. WPW causes paroxysmal tachycardias, but exertional syncope is the classic presentation of HOCM.","Incorrect. Brugada syndrome causes syncope or sudden death, typically at rest or during sleep, not classically exertional.","Incorrect. Long QT can cause syncope, but HOCM is the most classic structural cause of exertional syncope in young adults.",Hypertrophic Obstructive Cardiomyopathy (HOCM) is the most common cause of sudden cardiac death in young athletes. It is characterized by asymmetric septal hypertrophy and systolic anterior motion (SAM) of the mitral valve.,Exertional syncope in a young athlete strongly suggests HOCM.,Accurate
"A 68-year-old man is seen for a follow-up. He has longstanding breathlessness and symptoms of cardiac failure. The ECG confirmed a diagnosis of heart failure due to left ventricular dysfunction. His currently on enalopril 10 mg OD, simvastatin 40 mg OD, furosemide 40 mg OD and omeprazole 20 mg OD. Examination revealed that the chest is clear and heart sounds are normal. There is no peripheral edema. Blood pressure 125/83 mmHg, Heart rate 76 /min. Which of the following is the most appropriate next step in the management at this stage?",Add in digoxin,Add in losartan,Add in bisoprolol,No additional medication indicated,C. Add in bisoprolol,Internal medicine,Cardiology,Highlighted,"Incorrect. Digoxin is a 3rd line agent for symptom control (or rate control in AF), not primary survival.","Incorrect. Losartan (ARB) is alternative to ACEi; the patient is likely already on an ACEi or if not, beta-blocker is the correct add-on here depending on the current regimen.","Correct. In a patient with symptomatic heart failure with reduced ejection fraction (HFrEF) who is likely on a diuretic and ACE inhibitor, adding a cardioselective Beta-blocker (like Bisoprolol, Carvedilol, or Metoprolol succinate) is proven to reduce mortality and morbidity.",Incorrect. GDMT (Guideline-Directed Medical Therapy) requires multiple agents.,"The mortality-reducing foundation of HFrEF treatment includes: ACE inhibitors/ARBs/ARNI, Beta-blockers (Bisoprolol, Carvedilol, Metoprolol succinate), and Aldosterone Antagonists (Spironolactone).",Bisoprolol is a mortality-reducing beta-blocker indicated in heart failure.,Accurate
"A 78-year-old man diagnosed with heart failure due to left ventricular dysfunction. His currently on aspirin 75 mg OD, simvastatin 40 mg OD and furosemide 40 mg OD. On examination, heart sounds are normal, his chest is clear and there is no peripheral edema. Which of the following is the most appropriate drug therapy to initiate at this stage?",Digoxin,Enalopril,Hydralazine,Spironolactone,B. Enalopril,Internal medicine,Cardiology,Highlighted,Incorrect. Digoxin reduces hospitalizations but does not improve survival in HF.,"Correct. ACE inhibitors (like Enalapril) are a cornerstone of HFrEF therapy, proven to reduce cardiac remodeling, delay disease progression, and significantly decrease mortality.","Incorrect. Hydralazine (with nitrates) improves survival but is generally second-line (or first-line in African American patients), whereas ACE inhibitors are first-line for all.",Incorrect. Spironolactone improves survival but is added after ACEi and Beta-blockers.,"ACE inhibitors (Enalapril, Lisinopril) prevent deleterious cardiac remodeling (by blocking Angiotensin II) and decrease mortality in all patients with heart failure with reduced ejection fraction (HFrEF).",ACE inhibitors (Enalapril) reduce mortality and cardiac remodeling in HFrEF.,Accurate
A 55-year-old man presents with a 3-month history of exertional chest pain. He has previous history of myocardial infarction. Which of the following is modifiable risk factors in the treatment of ischemic heart disease?,Family history,Smoking,Gender,BMI,B. Smoking,Internal medicine,Cardiology,Highlighted,"Incorrect. While family history is a risk factor, it is non-modifiable. (The question likely asked for the most important *modifiable* risk factor for CAD).",Correct. Smoking is one of the most significant and rapidly modifiable risk factors for coronary artery disease (CAD). Smoking cessation dramatically reduces the risk of MI.,Incorrect. Gender is non-modifiable.,"Incorrect. BMI is modifiable, but smoking is a more potent independent risk factor for acute coronary events.","The most significant modifiable risk factors for Coronary Artery Disease are Smoking, Dyslipidemia, Hypertension, and Diabetes. Smoking cessation reduces CV risk by 50% within the first year.",Smoking is the most potent modifiable risk factor for coronary artery disease.,Accurate
"A 78-year-old woman presents with exertional syncope. On clinical examination, she has a slow rising carotid pulse and a loud ejection systolic murmur at the upper right sternal edge, radiating to the carotids. Which of the following is the most likely cause of these findings?",Mitral stenosis,Aortic stenosis,Mitral valve prolapse,Tricuspid regurgitation,B. Aortic stenosis,Internal medicine,Cardiology,Highlighted,"Incorrect. Mitral stenosis causes a mid-diastolic rumble and AFib, not exertional syncope with a slow rising pulse.",Correct. An elderly patient with exertional syncope and a slow rising (pulsus parvus et tardus) carotid pulse has the classic signs of severe Aortic Stenosis.,Incorrect. MVP causes a mid-systolic click and late systolic murmur.,Incorrect. Tricuspid regurgitation causes elevated JVP with large v-waves and a holosystolic murmur.,"Severe Aortic Stenosis presents with the classic triad of SAD: Syncope (exertional), Angina, and Dyspnea. Physical exam shows a harsh crescendo-decrescendo systolic murmur and a delayed, weak carotid pulse (pulsus parvus et tardus).",Exertional syncope + slow-rising pulse = severe Aortic Stenosis.,Accurate
A 43-year-old healthy man concerned about heart disease. Which of the following is the most important risk factor of ischemic heart disease?,BMI of 31.2 kg/m2,Waist circumference of 103 cm,Blood pressure of 132/82 mmHg,2 separate fasting plasma glucose of 8.2 and 8.3 mmol/L.,D. 2 separate fasting plasma glucose of 8.2 and 8.3 mmol/L.,Internal medicine,Cardiology,Highlighted,Incorrect. BMI is a risk factor but not diagnostic of diabetes or definitively the most direct immediate metabolic metric for a specific vascular event without other context.,Incorrect. Central obesity is a risk factor but not as critical a diagnostic cut-off as frank diabetes.,Incorrect. BP is borderline elevated (prehypertension/stage 1) but not severely pathological.,Correct. Two separate fasting plasma glucose levels >= 7.0 mmol/L (126 mg/dL) are diagnostic for Diabetes Mellitus. Diabetes is a major independent risk factor for coronary heart disease (a coronary risk equivalent).,"Diabetes Mellitus is diagnosed by a fasting plasma glucose >= 7.0 mmol/L (126 mg/dL) on two separate occasions. It is considered a coronary artery disease equivalent, greatly increasing the risk of myocardial infarction.",Two fasting glucose levels >= 7.0 mmol/L (126 mg/dL) diagnoses Diabetes Mellitus.,Accurate
"A 72-year-old man presented with an episode of right-sided weakness that lasted 10 minutes and fully resolved and he is clinical stable. He has no other medical illness. On clinical examination, he is in atrial fibrillation. Blood pressure 110/70 mmHg, Heart rate 95 /min, Temperature 36.6 °C. Which of the following is the most appropriate next step in the management?",Aspirin,"Warfarin, INR range 3-4","Warfarin, INR range 2-3",No additional drug treatment,"C. Warfarin, INR range 2-3",Internal medicine,Cardiology,Highlighted,Incorrect. Aspirin is for non-cardioembolic TIA/stroke.,Incorrect. INR 3-4 is reserved for mechanical mitral valves.,Correct. A patient with a TIA (resolved right-sided weakness) and Atrial Fibrillation requires long-term anticoagulation to prevent a cardioembolic stroke. The target INR for Warfarin in non-valvular AF is 2-3.,Incorrect. Withholding anticoagulation puts the patient at a very high risk of a massive stroke.,"Patients with Atrial Fibrillation who suffer a TIA or Ischemic Stroke must be anticoagulated (e.g., Warfarin with target INR 2.0-3.0 or DOACs) to prevent recurrent cardioembolic events.",Target INR for Warfarin in atrial fibrillation is 2.0 to 3.0.,Accurate
"A 58-year-old man comes to the clinic for a follow-up. He has been discharged after an acute inferior myocardial infarction. He is diabetic type 2, on metformin 1g BD, aspirin 75 mg. atorvastatin 10 mg OD and lisinopril 10 mg OD. Examination revealed bilateral basal crackles on auscultation of the chest. Blood pressure 148/88 mmH, Heart rate 76 /min, BMI 24 kg/m2 Which of the following is the most appropriate medication to add to his regime?",Bisoprolol,Amlodipine,Losartan,Warfarin,A. Bisoprolol,Internal medicine,Cardiology,Highlighted,"Correct. Beta-blockers (like Bisoprolol, Metoprolol) are essential post-myocardial infarction for secondary prevention. They reduce myocardial oxygen demand, limit remodeling, and decrease mortality and arrhythmias.",Incorrect. Amlodipine (CCB) is not standard post-MI unless there is refractory angina; it does not reduce mortality.,"Incorrect. Losartan is an ARB. ACEi/ARBs are used post-MI (especially with anterior MI or EF <40%), but beta-blockers are universally indicated.","Incorrect. Warfarin is not indicated unless there is a specific reason (AF, LV thrombus).","Standard secondary prevention post-MI includes: Aspirin, P2Y12 inhibitor (Clopidogrel/Ticagrelor), Beta-blocker, high-intensity Statin, and an ACE inhibitor.",Beta-blockers (Bisoprolol) are mandatory post-MI to reduce mortality.,Accurate
"A 61-year-old woman comes to the clinic complaining of palpitations. She has also noticed some weight loss over the last 2 months. On clinical examination, she has an irregularly irregular pulse and a fine tremor. Her ECG shows atrial fibrillation. Which of the following is the next most appropriate investigation to do?",Carotid Ultrasound,Thyroid function tests,Exercise tolerance test,24 hours ECG monitoring,B. Thyroid function tests,Internal medicine,Cardiology,Not,"Incorrect. Carotid ultrasound is for TIA/Stroke workup, not palpitations/weight loss.","Correct. The combination of palpitations (potentially Atrial Fibrillation or sinus tachycardia) and weight loss in an older woman strongly suggests hyperthyroidism. Thyroid function tests (TSH, Free T4) are the most appropriate initial investigation.",Incorrect. Exercise testing is for exertional chest pain.,"Incorrect. While Holter monitoring checks the rhythm, TFTs are essential to find the underlying, easily treatable metabolic cause (thyrotoxicosis) of both symptoms.","Hyperthyroidism can present atypically in the elderly ('apathetic thyrotoxicosis') or with classic signs like weight loss, palpitations, and new-onset Atrial Fibrillation. Check a TSH first.",Palpitations + weight loss = Check Thyroid Function Tests (hyperthyroidism).,Accurate
"A 66-year-old man comes for follow-up. He has shortness of breath on exercise, which have increased over the past few months. He became unable to walk more than 200-300 meters on the corridor and cannot climb the stairs easily. He has history of hypertension and currently on amlodipine 5 mg OD and indapamide 2.5 mg OD. On examination, he has bilateral basal crackles and mild pitting ankle edema (see lab results). Blood pressure 188/96 mmH Heart rate 79 /min Test Result Normal Values Hb 133 130-170 g/L (Male) 120-160 g/L (Female) Sodium 138 134-146 mmol/L Potassium 4.2 3.5-5.1 mmol/L Creatinine 133 44-115 mol/L Which of the following is the most appropriate next therapy?",Spironolactone,Furosemide,Bisoprolol,Lisinopril,D. Lisinopril,Internal medicine,Cardiology,Highlighted,"Incorrect. Spironolactone is an add-on therapy (aldosterone antagonist), not the initial monotherapy for HFrEF.",Incorrect. Furosemide provides symptomatic relief for fluid overload but does not reduce mortality or halt remodeling.,"Incorrect. While beta-blockers are essential, they can worsen acute dyspnea if started during an exacerbation, though the text cuts off, ACE inhibitors are the classic first-line.","Correct. Lisinopril (an ACE inhibitor) is a first-line agent in the management of symptomatic heart failure. It reduces preload and afterload, delays cardiac remodeling, and decreases mortality.",ACE inhibitors are the cornerstone of heart failure therapy. They should be initiated in all patients with symptomatic left ventricular dysfunction (HFrEF) unless contraindicated.,ACE inhibitors (Lisinopril) are first-line for symptomatic heart failure.,Accurate
"A 66-year-old man presents with a diastolic murmur best heard at the left steal edge. On examination, the apex beat is displaced outwards. Which condition typically presents with these findings?",Coarctation of the aorta,Aortic regurgitation,Mitral regurgitation,Aortic stenosis,B. Aortic regurgitation,Internal medicine,Cardiology,Highlighted,Incorrect. Coarctation causes upper extremity hypertension and a systolic murmur.,Correct. An early diastolic decrescendo murmur best heard at the left sternal border is characteristic of Aortic Regurgitation. It may also present with a wide pulse pressure.,Incorrect. Mitral regurgitation is a holosystolic murmur at the apex.,Incorrect. Aortic stenosis is a systolic crescendo-decrescendo murmur at the right upper sternal border.,"Aortic Regurgitation classically presents as an early diastolic decrescendo murmur at the left sternal border, accompanied by a widened pulse pressure and bounding pulses (water-hammer pulse).",Early diastolic murmur at the left sternal border = Aortic Regurgitation.,Accurate
A 64-year-old man is diagnosed with persistent atrial fibrillation. His past medical history includes hypertension and type 2 diabetes. He has no contraindications to any antithrombotic treatments. What antithrombotic treatment should be considered first line for this patient?,Aspirin and Clopidogrel,Clopidogrel,Warfarin,Aspirin,C. Warfarin,Internal medicine,Cardiology,Highlighted,"Incorrect. DAPT is for acute coronary syndrome or stents, not stroke prevention in AF.",Incorrect. Clopidogrel alone is inadequate for AF stroke prevention.,"Correct. A 64-year-old with persistent AF and likely other risk factors (hypertension/diabetes, based on the missing text) will have a CHA2DS2-VASc score >= 1 or 2, mandating oral anticoagulation (like Warfarin or a DOAC) to prevent stroke.",Incorrect. Aspirin alone is no longer recommended for AF stroke prophylaxis in most guidelines.,"For stroke prevention in Atrial Fibrillation, the CHA2DS2-VASc score dictates therapy. A score of >= 2 in men or >= 3 in women is a strong indication for oral anticoagulation (Warfarin or DOAC).",Use Warfarin (or DOACs) for stroke prevention in persistent Atrial Fibrillation.,Accurate
"A 77-year-old woman comes to the clinic for a check-up. She has an irregular pulse when the nurse checked her vitals. An ECG has confirmed persistent atrial fibrillation .She is completely asymptomatic. She has a past medical history of migraine and asthma and on salbutamol PRN for asthma and PRN ibuprofen for her migraines. Other clinical examination is normal. Blood pressure 138/85 mmg, Heart rate 88 /min. What antithrombotic treatment should be considered first line in this patient?",Aspirin,Clopidogrel,Aspirin and dipyridamole,Oral anticoagulation,D. Oral anticoagulation,Internal medicine,Cardiology,Highlighted,Incorrect. Aspirin is insufficient for stroke prevention in elderly AF patients.,"Incorrect. Clopidogrel is an antiplatelet, not an anticoagulant.",Incorrect. Aspirin + dipyridamole is for secondary stroke prevention of non-cardioembolic sources.,"Correct. A 77-year-old woman with an irregular pulse (Atrial Fibrillation) has a CHA2DS2-VASc score of at least 3 (Age >= 75 is 2 points, female gender is 1 point). Oral anticoagulation is strongly indicated.","Age >= 75 alone gives 2 points on the CHA2DS2-VASc score, which automatically meets the threshold for requiring oral anticoagulation in Atrial Fibrillation to prevent cardioembolic stroke.",Age >= 75 with AFib absolutely mandates oral anticoagulation.,Accurate
"A 63-year-old smoker man presents with pain in his left leg, which is exacerbated by exercise and relieved by rest. Examination revealed weak pulses in the left leg compared to the right. The ankle brachial pressure Index is 0.84. Which of the following is the most likely diagnosis?",Peripheral arterial disease with critical ischaemia,Normal peripheral arterial disease,Peripheral arterial disease,Incompressible vessels,C. Peripheral arterial disease,Internal medicine,General,Not,Incorrect. Critical ischemia causes pain AT REST and tissue loss (ulcers/gangrene).,Incorrect. 'Normal' PAD is a contradictory term.,"Correct. Exertional leg pain that is consistently relieved by rest in a smoker is the definition of Intermittent Claudication, the hallmark symptom of Peripheral Arterial Disease (PAD).","Incorrect. Incompressible vessels refer to calcified arteries (ABI > 1.3), but PAD is the clinical diagnosis.","Intermittent claudication (reproducible calf pain on exertion, relieved by rest) is the classic presentation of Peripheral Arterial Disease. It is diagnosed by an Ankle-Brachial Index (ABI) < 0.9.",Exertional leg pain relieved by rest in a smoker = Peripheral Arterial Disease.,Accurate
A 62-year-old man presents with a 3-month history of epigastric pain after eating and intermittent heartburn between meals. He has lost weight but does not have any nausea or vomiting. He has not noticed any change in bowel habit and has not passed any blood or melena stools. He has no past medical history. He quit smoking 2 years ago. What is the most appropriate management strategy?,Routine ultrasound of the abdomen,Urgent referral for upper Gl endoscopy,An oral proton pump inhibitor for 4 weeks,Blood testing for helicobacter pylori infection,B. Urgent referral for upper Gl endoscopy,Internal medicine,Gastroenterology,Highlighted,"Incorrect. Ultrasound evaluates the biliary tree, not the gastric mucosa.","Correct. New-onset dyspepsia (epigastric pain) in a patient over 55-60 years old, OR the presence of 'alarm symptoms' (weight loss, dysphagia, vomiting, bleeding), mandates an urgent upper GI endoscopy to rule out gastric/esophageal cancer.",Incorrect. An empiric PPI trial is appropriate for younger patients (<55) without alarm symptoms.,Incorrect. 'Test and treat' for H. pylori is also for younger patients without alarm symptoms.,"The presence of 'alarm symptoms' (weight loss, anemia, dysphagia, persistent vomiting) or age > 55 with new-onset dyspepsia requires immediate investigation with Upper GI Endoscopy to rule out malignancy.",New-onset dyspepsia in a patient > 55 years old requires urgent upper GI endoscopy.,Accurate
"A 29-year-old man is seen in the pre-employment clinic for routine exam, He is asymptomatic. Physical examination revealed a systolic murmur that heard at the apex. The murmur is augmented with sustained handgrip and reduced with Valsalva manoeuvre. Which of the following is the most likely cause for this murmur?",Mitral regurgitation,Aortic regurgitation,Mitral stenosis,Aortic stenosis,A. Mitral regurgitation,Internal medicine,Cardiology,Highlighted,Correct. A holosystolic (pansystolic) murmur heard best at the apex and radiating to the axilla is the classic description of Mitral Regurgitation.,Incorrect. Aortic regurgitation is an early diastolic decrescendo murmur at the left sternal border.,Incorrect. Mitral stenosis is a mid-diastolic rumbling murmur at the apex.,Incorrect. Aortic stenosis is a systolic crescendo-decrescendo murmur at the aortic area radiating to the carotids.,"Mitral regurgitation presents with a blowing, holosystolic murmur at the apex that classically radiates to the left axilla.",Apical holosystolic murmur radiating to the axilla = Mitral Regurgitation.,Accurate
A 38-year-old man presents to the clinic complaining of severe epigastric pain that is worse after eating. He describes the pain as burning in nature with mild improvement with antacid therapy. Physical examination is unremarkable (see lab results). Test Result Normal Values Hb 120 130-170 g/L (Male) 120-160 g/L (Female) Platelets count 450 150-400 x 109/L WBC 10 4.5-10.5 x 109/L Urea 8.5 2.75-7.4 mmol/L Creatinine 65 44-115 mol/L What is the most appropriate test to establish the diagnosis?,CT scan of the abdomen,upper endoscopy,Barium swallow,H. pylori antibody,B. upper endoscopy,Internal medicine,Nephrology,Highlighted,Incorrect. CT abdomen is not the first-line test for evaluating suspected peptic ulcer disease.,"Correct. Severe epigastric pain that is worse after eating (often gastric ulcer) or relieved by eating (duodenal ulcer) is classic for Peptic Ulcer Disease. Upper GI endoscopy is the gold standard diagnostic test as it allows for direct visualization, biopsy, and H. pylori testing.",Incorrect. Barium swallow is less sensitive and cannot biopsy.,"Incorrect. H. pylori antibody shows past exposure, not necessarily active disease, and does not diagnose an ulcer.",Upper GI endoscopy is the definitive test for diagnosing Peptic Ulcer Disease. It differentiates between gastric and duodenal ulcers and allows biopsies to rule out malignancy (for gastric ulcers) and test for H. pylori.,Upper GI endoscopy is the gold standard diagnostic test for Peptic Ulcer Disease.,Accurate
A 29-year-old man who is smoker for 5 years had appendectomy 2 years ago. He came to the clinic to discuss with you his risk to develop Crohn's disease because his brother has Crohn's disease that difficult to be controlled. Which of the following increase the risk for the development of Crohn's disease?,Being male,Cigarette smoking,No known risk factors,History of appendectomy,B. Cigarette smoking,Internal medicine,Gastroenterology,Not,Incorrect. Crohn's disease affects both genders.,"Correct. Cigarette smoking is a major established risk factor for Crohn's disease, increasing the risk of development, severity of flares, and need for surgery.",Incorrect. Smoking is a known risk factor.,"Incorrect. Appendectomy is protective against Ulcerative Colitis, not a risk factor for Crohn's.",Smoking exacerbates Crohn's disease (increases flares and surgical risk) but is paradoxically protective against Ulcerative Colitis.,Cigarette smoking is a major exacerbating risk factor for Crohn's disease.,Accurate
"A 30-year-old woman presents to the Emergency Department with 2-days history of severe abdominal pain that radiated to the back, which is associated with nausea and vomiting. On examination, she has normal vital signs with tender epigastrium but without rebound (see lab results). Test Result Normal Values Platelets count 450 150-400 x 109/L WBC 14 4.5-10.5 x 109/L Alanine aminotransferase 80 5-40 IU/L Aspartate aminotransferase 65 12-40 IU/L Amylase 800 24-151 IU/L Lipase 750 0-160 IU/L HCT 49 0.42-0.52 (Male) 0.37-0.48 (Female) Which of the following predict a poor prognosis for this patient?",Hematocrit > 44%,Lipase > 500 IU/L,Amylase > 600 IU/L,Albumin > 3.5 g/di,A. Hematocrit > 44%,Internal medicine,General,Not,"Correct. In acute pancreatitis (severe abdominal pain radiating to the back, vomiting), hemoconcentration (Hematocrit > 44%) at admission or failure of hematocrit to fall with fluid resuscitation is a strong independent predictor of severe disease and pancreatic necrosis.",Incorrect. Absolute levels of lipase/amylase do not correlate with disease severity.,Incorrect. Absolute levels of amylase do not predict severity.,"Incorrect. Hypoalbuminemia, not normal/high albumin, is a marker of severity.","In acute pancreatitis, markers of hemoconcentration (Hematocrit > 44%) and prerenal azotemia (elevated BUN) indicate severe third-spacing and intravascular volume depletion, predicting severe disease and a higher mortality risk.",Elevated hematocrit (>44%) predicts severe disease in acute pancreatitis.,Accurate
